DataSet, Kind, N, Nmax, S
BIGN micro 7.12936550001 6.16690322815 3.71775369321
BIGN micro 6.09368883418 5.74278559848 2.19865708695
BIGN micro 6.37014525465 6.14246142538 3.14798532068
BIGN micro 7.00216835206 6.16084983451 3.3034120706
BIGN micro 7.8722124301 7.02613895209 3.19173039336
BIGN micro 6.35691610874 5.41291728242 2.97127584874
BIGN micro 6.88752491855 5.82676717707 3.68205477707
BIGN micro 6.74045356598 5.83926241787 3.07990446767
BIGN micro 5.86583685737 5.0603918382 2.89097959699
BIGN micro 6.82824389583 5.74287118048 2.96894968098
BIGN micro 6.29466657268 5.76568345311 3.38165648259
BIGN micro 5.47160704693 5.24743312956 2.60205999133
BIGN micro 6.3536566148 5.46015786015 2.56584781867
BOVINE micro 3.60605874941 3.30813737864 1.50514997832
BOVINE micro 3.38649896555 2.76863810125 2.03742649794
BOVINE micro 3.39724458101 3.08278537032 1.64345267649
BOVINE micro 3.05652372408 2.78247262417 1.65321251378
BOVINE micro 3.49526674439 3.11126251366 1.54406804435
BOVINE micro 3.45499721731 3.36995760735 1.04139268516
BOVINE micro 3.49052030936 3.04649516433 1.69897000434
BOVINE micro 3.33162971763 2.75815462197 1.59106460703
BOVINE micro 2.97358962343 2.81557774832 1.57978359662
BOVINE micro 3.16166741244 2.89265103388 1.67209785794
BOVINE micro 3.73639650228 3.51904003865 1.32221929473
BOVINE micro 3.02242837119 2.27415784926 1.74036268949
BOVINE micro 3.33061666729 2.81157500587 1.49136169383
BOVINE micro 3.54419211077 3.34458874258 1.44715803134
BOVINE micro 3.21642983088 2.52633927739 1.77815125038
BOVINE micro 4.0244856677 3.36958689074 1.64345267649
CATLIN micro 5.94847898526 5.39609119605 2.9890046157
CATLIN micro 4.58708207344 3.71407816498 2.81624129999
CATLIN micro 4.97694117082 3.64796945836 2.91539983521
CATLIN micro 4.22422218608 3.64620761221 2.77815125038
CATLIN micro 5.03401849237 4.46188852634 2.7259116323
CATLIN micro 4.89947577431 4.32586443662 2.87215627275
CATLIN micro 4.323911809 3.85315043645 2.17026171539
CATLIN micro 4.55431952792 3.97648753731 2.55630250077
CATLIN micro 5.12835725904 4.00259798072 3.08278537032
CATLIN micro 4.92628584058 4.37256221829 2.69722934276
CATLIN micro 5.7113735614 5.05935890679 2.87794695163
CATLIN micro 4.16790781 3.52139962812 2.65030752313
CATLIN micro 4.12483014941 3.84466352824 2.21748394421
CATLIN micro 5.68931063538 5.26922565448 2.83947804737
CATLIN micro 5.15198239546 4.49207559123 2.8215135284
CATLIN micro 5.93832705183 5.31515764366 3.00043407748
CATLIN micro 6.03578463388 5.52953429539 3.12254352407
CATLIN micro 3.76782349801 2.61172330801 2.48429983935
CATLIN micro 4.41800281852 4.27070212209 2.0
CATLIN micro 4.44933952617 3.54973873126 2.76863810125
CATLIN micro 4.33266060027 3.64266233144 2.45788189673
CATLIN micro 4.44208762955 3.79497574405 2.63447727016
CATLIN micro 5.33339487386 4.59852788159 2.94051648493
CATLIN micro 4.44291854537 3.77930782758 2.23299611039
CATLIN micro 4.47035167935 4.07437753764 2.18752072084
CATLIN micro 4.42020337435 3.8873359304 2.29446622616
CATLIN micro 4.57183688905 4.00766244654 2.53147891704
CATLIN micro 4.29743220481 3.55630250077 2.84509804001
CATLIN micro 4.55208389785 3.95303445725 2.71516735785
CATLIN micro 3.74919504222 3.23121464796 2.51587384371
CATLIN micro 5.98722549158 5.23987231982 2.96378782735
CATLIN micro 4.36193549242 3.71667097556 2.59439255038
CATLIN micro 5.13112121823 4.41987317515 2.7371926427
CATLIN micro 4.73241788662 4.1593265202 2.6232492904
CATLIN micro 5.01437350897 4.29486286228 2.74036268949
CATLIN micro 3.614580867 3.25815819334 2.20951501454
CATLIN micro 4.71815278454 4.26724214883 2.34439227369
CATLIN micro 4.61140463771 3.90476962591 2.32837960344
CATLIN micro 4.73190289061 4.19451434188 2.89265103388
CATLIN micro 4.61124521483 4.0245677572 2.47712125472
CATLIN micro 4.57390385599 4.16882146301 2.60959440923
CATLIN micro 4.48815572377 3.65417654188 2.59659709563
CATLIN micro 4.2552725051 3.32919441509 2.60314437262
CATLIN micro 4.61756644307 4.08500499908 2.7299742857
CATLIN micro 4.93049566203 4.52809358801 2.91115760874
CATLIN micro 5.07578046875 4.422310725 2.96047077753
CATLIN micro 5.32784711347 4.37553559251 2.96142109407
CATLIN micro 5.37269480142 4.70801276056 3.20897851728
CATLIN micro 4.62402412465 4.10792190019 2.62736585659
CATLIN micro 4.43415357107 4.34303421048 2.07188200731
CATLIN micro 4.56791992814 3.7868223795 2.67394199863
CATLIN micro 4.17452497792 3.47143840739 2.45331834005
CATLIN micro 3.6974037232 2.80821097292 2.44560420327
CATLIN micro 4.83181860255 3.99051644403 2.651278014
CATLIN micro 4.28200999934 4.12414542506 1.98677173427
CATLIN micro 4.74208853743 4.01928249576 2.95808584852
CATLIN micro 4.73149206548 4.07736790528 2.79028516403
CATLIN micro 4.29596273239 3.68904233903 2.62221402297
CATLIN micro 5.9051317925 5.11558721556 2.85913829729
CATLIN micro 4.90959346681 4.34466730526 2.71011736511
CATLIN micro 3.97552371296 3.65069597976 2.36361197989
CATLIN micro 4.03458835371 3.68205477707 2.17897694729
CATLIN micro 4.92589969346 4.04237859814 2.61804809671
CATLIN micro 4.93636794787 4.13273983826 3.02325245963
CATLIN micro 5.11962534441 4.51041094801 2.88081359228
CATLIN micro 4.36004404532 3.31701810105 2.7259116323
CATLIN micro 5.01092295966 4.47250779208 2.90091306774
CATLIN micro 4.36696432032 3.75694023605 2.53402610606
CATLIN micro 4.14903426716 3.54838941813 2.46834733041
CATLIN micro 4.9284675459 4.50168901192 2.87273882747
CATLIN micro 4.4321030437 4.04016703648 2.18184358794
CATLIN micro 4.54005404226 3.83231726992 2.43933269383
CATLIN micro 5.3021620276 4.71179036291 2.80140371002
CATLIN micro 5.04282743253 4.43189424441 2.72263392253
CATLIN micro 5.21986994566 4.62715070463 2.9934362305
CATLIN micro 5.10749488192 4.41662386738 2.92992956008
CATLIN micro 3.79021477024 3.68024483704 1.85733249643
CATLIN micro 4.17105328756 3.6292056571 2.60638136511
CATLIN micro 4.59320850751 3.9703003754 2.64640372622
CATLIN micro 4.08898611895 3.64601140959 2.30319605742
CATLIN micro 3.48628876096 3.06220580882 2.32014628611
CATLIN micro 1.75587485567 1.27875360095 1.27875360095
CATLIN micro 5.29428762166 4.95684528685 2.84198480459
CATLIN micro 5.04461814582 4.5538587637 2.70329137812
CATLIN micro 4.5492362954 4.13842902001 2.3961993471
CATLIN micro 4.92649678927 4.33717962541 2.86272752832
CATLIN micro 3.31993843998 2.71011736511 2.03742649794
CATLIN micro 4.82167725865 3.98358118671 2.74350976473
CATLIN micro 5.34288042278 4.67862762177 3.00130093302
CATLIN micro 4.63709928943 3.90025785844 2.87098881376
CATLIN micro 3.95660058821 3.11394335231 2.38738982634
CATLIN micro 4.71796159904 4.23251329269 2.37474834601
CATLIN micro 4.85512526523 4.24627694543 2.8981764835
CATLIN micro 4.93078607653 4.14668605565 3.02530586526
CATLIN micro 4.58780073238 4.08156332098 2.74115159885
CATLIN micro 5.2397097999 4.4404052601 2.92890769024
CATLIN micro 3.40397796367 2.74896286126 2.37657695706
CATLIN micro 4.4511106819 3.9963365181 2.3909351071
CATLIN micro 4.47974801477 3.60498162961 2.688419822
CATLIN micro 5.2420367772 4.65036581378 2.95904139232
CATLIN micro 5.0166406264 4.60123404692 2.70671778234
CATLIN micro 4.88920082239 4.13984761465 2.80140371002
CATLIN micro 3.9438406264 3.38916608436 2.35983548234
CATLIN micro 3.60713320439 2.96473092105 2.34242268082
CATLIN micro 5.87262412598 5.27984254234 2.96754797622
CATLIN micro 4.73354231585 4.20352241682 2.87794695163
CATLIN micro 4.30408102946 3.82994669594 2.11394335231
CATLIN micro 4.339570682 3.62520952538 2.50379068306
CATLIN micro 5.54487508177 4.96053261134 2.8543060418
CATLIN micro 4.88932411713 3.91301868375 2.62221402297
CATLIN micro 4.50801769042 3.83142181707 2.4885507165
CATLIN micro 5.0861105738 4.55973909623 2.76492298465
CATLIN micro 5.05949525823 4.35007348995 2.81624129999
CATLIN micro 5.48007165089 4.78485256088 3.10653085382
CATLIN micro 4.79509410224 4.02848991652 2.74429298312
CATLIN micro 4.34588321293 3.66010622172 2.54777470539
CATLIN micro 3.93135615047 3.09412159584 2.69897000434
CATLIN micro 4.93902477405 4.08421868674 2.94546858513
CATLIN micro 5.04214218306 4.47115964198 2.75739602879
CATLIN micro 4.42002179586 3.87857923806 2.91803033678
CATLIN micro 4.04688519084 3.43996393592 2.60314437262
CATLIN micro 4.43589212302 3.39375064035 2.92737036304
CATLIN micro 5.43641074444 5.0297043067 2.98272338767
CATLIN micro 4.3911116137 3.55412558151 2.61595005166
CATLIN micro 4.58315341447 3.83910078271 2.67024585307
CATLIN micro 5.3868858236 4.79342016894 2.85003325769
CATLIN micro 4.62068768549 4.25244037655 2.81291335664
CATLIN micro 4.13366662326 3.65867902858 2.17609125906
CATLIN micro 4.61368329131 3.99051644403 2.67669360962
CATLIN micro 4.5730573569 3.56110138365 2.90363251608
CHINA micro 3.77305469336 3.45071087815 2.12385164097
CHINA micro 3.44498111209 3.1095785469 2.41497334797
CHINA micro 3.8442285813 3.3517963069 2.50514997832
CHINA micro 4.02734960777 3.46642272243 2.53907609879
CHINA micro 3.72762257797 3.45086469238 2.1398790864
CHINA micro 3.93711651077 3.59911856506 2.69810054562
CHINA micro 3.80996352171 3.37966803403 2.13672056716
CHINA micro 3.85156408226 3.51745982654 2.62736585659
CHINA micro 3.96707973414 3.62520952538 2.70156798506
CHINA micro 3.81009804068 3.16702179579 2.16731733475
CHINA micro 3.71982828625 3.25743856686 2.38916608436
CHINA micro 3.65705585286 3.13545069935 2.54900326203
CHINA micro 3.8347385189 3.38987455839 2.35218251811
CHINA micro 3.80448018911 3.31428866095 2.11727129566
CHINA micro 3.782329269 3.38721180031 2.56820172407
CHINA micro 3.85841687772 3.54245194738 2.61489721603
CHINA micro 3.6166855209 3.13001194967 2.14301480025
CHINA micro 4.08664452061 3.69757803365 2.58206336291
CHINA micro 3.18440748541 2.53655844257 1.95904139232
CHINA micro 3.93821941781 3.32304573548 2.49554433755
CHINA micro 3.76087463805 3.28735377271 2.23044892138
CHINA micro 4.00625205137 3.07518185462 2.06069784035
CHINA micro 3.85193067864 3.2929202996 2.61700034112
CHINA micro 3.89965638031 3.38703370128 2.47421626408
CHINA micro 3.79699039055 3.2583978041 2.76492298465
CHINA micro 3.40722089293 2.91907809238 1.81954393554
CHINA micro 3.10924096859 2.7168377233 1.89209460269
CHINA micro 2.99211148779 2.42651126136 1.54406804435
CHINA micro 3.61658053009 3.10140335056 2.23044892138
CHINA micro 3.755951041 3.35314654621 2.16731733475
CHINA micro 3.90606554476 3.31217735644 2.51982799378
CHINA micro 3.65705585286 3.34399906906 2.14921911266
CHINA micro 3.47363292687 3.00432137378 2.17609125906
CHINA micro 3.77158748088 3.38489079653 2.66931688057
CHINA micro 3.67080228426 3.24944296144 2.02530586526
CHINA micro 3.32980452216 2.83505610172 1.7242758696
CHINA micro 3.77749931959 3.26787541932 1.96848294855
CHINA micro 3.83129374438 3.39689644914 2.29885307641
CHINA micro 3.47741068791 3.0322157033 2.08990511144
CHINA micro 3.79351100579 3.43520710324 2.61172330801
CHINA micro 3.51851393988 3.05192391605 2.19312459835
CHINA micro 3.73647618203 3.29534714833 2.17318626841
CHINA micro 3.7199110642 3.2132520522 2.17609125906
CHINA micro 3.95099733399 3.59195455505 2.09691001301
CHINA micro 3.64865269513 3.34772021703 2.59769518593
CHINA micro 3.36847283844 2.90363251608 1.14612803568
CHINA micro 3.77136697086 3.40312052118 2.2121876044
CHINA micro 3.92762696244 3.37839790095 2.60959440923
CHINA micro 3.74217504322 3.35121634534 2.30535136945
CHINA micro 3.79274178583 3.27300127206 2.2671717284
CHINA micro 3.49886168899 2.98317507204 2.08278537032
