DataSet, Kind, N, Nmax, S
BIGN micro 6.3536566148 5.46015786015 2.56584781867
BIGN micro 7.8722124301 7.02613895209 3.19173039336
BIGN micro 6.29466657268 5.76568345311 3.38165648259
BIGN micro 6.35691610874 5.41291728242 2.97127584874
BIGN micro 6.3536566148 5.46015786015 2.56584781867
BIGN micro 6.09368883418 5.74278559848 2.19865708695
BIGN micro 6.35691610874 5.41291728242 2.97127584874
BIGN micro 6.29466657268 5.76568345311 3.38165648259
BIGN micro 6.82824389583 5.74287118048 2.96894968098
BIGN micro 7.12936550001 6.16690322815 3.71775369321
BIGN micro 6.82824389583 5.74287118048 2.96894968098
BIGN micro 6.3536566148 5.46015786015 2.56584781867
BIGN micro 6.35691610874 5.41291728242 2.97127584874
BIGN micro 7.8722124301 7.02613895209 3.19173039336
BIGN micro 7.12936550001 6.16690322815 3.71775369321
BIGN micro 6.37014525465 6.14246142538 3.14798532068
BIGN micro 6.3536566148 5.46015786015 2.56584781867
BIGN micro 7.8722124301 7.02613895209 3.19173039336
BIGN micro 6.37014525465 6.14246142538 3.14798532068
BIGN micro 6.29466657268 5.76568345311 3.38165648259
BOVINE micro 3.49526674439 3.11126251366 1.54406804435
BOVINE micro 3.33061666729 2.81157500587 1.49136169383
BOVINE micro 3.33061666729 2.81157500587 1.49136169383
BOVINE micro 3.49526674439 3.11126251366 1.54406804435
BOVINE micro 3.60605874941 3.30813737864 1.50514997832
BOVINE micro 3.02242837119 2.27415784926 1.74036268949
BOVINE micro 2.97358962343 2.81557774832 1.57978359662
BOVINE micro 3.02242837119 2.27415784926 1.74036268949
BOVINE micro 3.49526674439 3.11126251366 1.54406804435
BOVINE micro 3.54419211077 3.34458874258 1.44715803134
BOVINE micro 3.49526674439 3.11126251366 1.54406804435
BOVINE micro 3.16166741244 2.89265103388 1.67209785794
BOVINE micro 3.21642983088 2.52633927739 1.77815125038
BOVINE micro 3.02242837119 2.27415784926 1.74036268949
BOVINE micro 3.16166741244 2.89265103388 1.67209785794
BOVINE micro 3.33162971763 2.75815462197 1.59106460703
BOVINE micro 3.05652372408 2.78247262417 1.65321251378
BOVINE micro 3.54419211077 3.34458874258 1.44715803134
BOVINE micro 3.73639650228 3.51904003865 1.32221929473
BOVINE micro 3.05652372408 2.78247262417 1.65321251378
CATLIN micro 5.04461814582 4.5538587637 2.70329137812
CATLIN micro 4.92589969346 4.04237859814 2.61804809671
CATLIN micro 4.63709928943 3.90025785844 2.87098881376
CATLIN micro 5.13112121823 4.41987317515 2.7371926427
CATLIN micro 4.44208762955 3.79497574405 2.63447727016
CATLIN micro 4.22422218608 3.64620761221 2.77815125038
CATLIN micro 5.33339487386 4.59852788159 2.94051648493
CATLIN micro 5.87262412598 5.27984254234 2.96754797622
CATLIN micro 3.95660058821 3.11394335231 2.38738982634
CATLIN micro 4.74208853743 4.01928249576 2.95808584852
CATLIN micro 5.94847898526 5.39609119605 2.9890046157
CATLIN micro 5.04214218306 4.47115964198 2.75739602879
CATLIN micro 4.30408102946 3.82994669594 2.11394335231
CATLIN micro 4.33266060027 3.64266233144 2.45788189673
CATLIN micro 5.01437350897 4.29486286228 2.74036268949
CATLIN micro 3.97552371296 3.65069597976 2.36361197989
CATLIN micro 4.12483014941 3.84466352824 2.21748394421
CATLIN micro 5.94847898526 5.39609119605 2.9890046157
CATLIN micro 4.62068768549 4.25244037655 2.81291335664
CATLIN micro 5.04282743253 4.43189424441 2.72263392253
CATLIN micro 4.41800281852 4.27070212209 2.0
CATLIN micro 5.2420367772 4.65036581378 2.95904139232
CATLIN micro 4.12483014941 3.84466352824 2.21748394421
CATLIN micro 5.2420367772 4.65036581378 2.95904139232
CATLIN micro 5.01092295966 4.47250779208 2.90091306774
CATLIN micro 4.82167725865 3.98358118671 2.74350976473
CATLIN micro 4.92628584058 4.37256221829 2.69722934276
CATLIN micro 5.7113735614 5.05935890679 2.87794695163
CATLIN micro 4.63709928943 3.90025785844 2.87098881376
CATLIN micro 4.17105328756 3.6292056571 2.60638136511
CATLIN micro 4.9284675459 4.50168901192 2.87273882747
CATLIN micro 4.92628584058 4.37256221829 2.69722934276
CATLIN micro 4.55431952792 3.97648753731 2.55630250077
CATLIN micro 5.03401849237 4.46188852634 2.7259116323
CATLIN micro 5.12835725904 4.00259798072 3.08278537032
CATLIN micro 5.2397097999 4.4404052601 2.92890769024
CATLIN micro 5.32784711347 4.37553559251 2.96142109407
CATLIN micro 3.79021477024 3.68024483704 1.85733249643
CATLIN micro 5.04282743253 4.43189424441 2.72263392253
CATLIN micro 4.4511106819 3.9963365181 2.3909351071
CATLIN micro 5.21986994566 4.62715070463 2.9934362305
CATLIN micro 4.34588321293 3.66010622172 2.54777470539
CATLIN micro 4.34588321293 3.66010622172 2.54777470539
CATLIN micro 4.83181860255 3.99051644403 2.651278014
CATLIN micro 4.34588321293 3.66010622172 2.54777470539
CATLIN micro 4.88932411713 3.91301868375 2.62221402297
CATLIN micro 4.22422218608 3.64620761221 2.77815125038
CATLIN micro 4.63709928943 3.90025785844 2.87098881376
CATLIN micro 4.58708207344 3.71407816498 2.81624129999
CATLIN micro 3.6974037232 2.80821097292 2.44560420327
CHINA micro 3.93277807006 3.45788189673 2.12710479836
CHINA micro 3.36847283844 2.90363251608 1.14612803568
CHINA micro 3.87098881376 3.28578227378 2.56229286446
CHINA micro 3.65705585286 3.13545069935 2.54900326203
CHINA micro 3.61658053009 3.10140335056 2.23044892138
CHINA micro 3.52530400996 3.19173039336 2.50242711998
CHINA micro 3.82366981327 3.44808766669 2.22010808804
CHINA micro 3.71982828625 3.25743856686 2.38916608436
CHINA micro 3.87098881376 3.28578227378 2.56229286446
CHINA micro 3.68042617086 3.31764554322 2.11727129566
CHINA micro 3.65030752313 3.25333800533 2.44090908207
CHINA micro 3.93414481179 3.57680189583 2.78604121024
CHINA micro 3.67228262479 3.24797326636 2.24054924828
CHINA micro 3.18440748541 2.53655844257 1.95904139232
CHINA micro 3.82930377283 3.43727479741 2.41329976408
CHINA micro 3.47363292687 3.00432137378 2.17609125906
CHINA micro 4.02657411815 3.35640832704 2.64048143697
CHINA micro 3.67089495352 3.28802553539 2.00860017176
CHINA micro 3.62096843564 3.19005141776 2.59549622183
CHINA micro 4.02657411815 3.35640832704 2.64048143697
CHINA micro 3.509874285 3.05614226206 1.73239375982
CHINA micro 3.74217504322 3.35121634534 2.30535136945
CHINA micro 4.02657411815 3.35640832704 2.64048143697
CHINA micro 3.18440748541 2.53655844257 1.95904139232
CHINA micro 3.7373516958 3.45147940512 2.29446622616
CHINA micro 4.09781240737 3.62695595144 2.41664050734
CHINA micro 3.76087463805 3.28735377271 2.23044892138
CHINA micro 3.78354628227 3.5065050324 2.62838893005
CHINA micro 3.83928945601 3.43806745045 2.58433122437
CHINA micro 3.72329144648 3.38632057389 2.31175386106
