,Category,Skewnness,Evenness,Dominance,N,S,AvgAb
1,micro,12.533387426,-2.23688336631,10.9285968142,12.472513206,5.99146454711,6.48104865888
2,micro,11.6304937673,-2.29419674135,11.1302291689,12.6958513282,5.96100533962,6.73484598854
3,micro,11.5092997165,-2.20885002046,10.9343205188,12.5662683842,5.96614673912,6.60012164507
4,micro,11.6062494999,-2.3139058792,11.0515723122,12.6078978037,5.92958914339,6.67830866033
5,micro,12.300637302,-2.283060392,10.9375613201,12.6507969276,6.0330862218,6.61771070579
6,micro,11.2137600312,-2.24019672666,10.7545568635,12.4989549234,6.00881318544,6.490141738
7,micro,12.5097830009,-2.29054535515,11.2036519663,12.788084334,5.98896141689,6.79912291709
8,micro,10.5449666576,-2.258970695,11.0231598476,12.674590797,5.89440283426,6.78018796274
9,micro,6.93348945466,-1.86574385688,8.81877816904,9.91051281747,4.86753445046,5.04297836702
10,micro,9.32838197804,-1.88062239835,9.49619577709,9.85969239254,4.5747109785,5.28498141403
11,micro,9.51010372586,-1.86500646622,9.30282839141,10.205294399,5.02388052085,5.18141387819
12,micro,23.693350541,-2.0571934859,12.7322232398,13.8979077225,7.18992217075,6.70798555175
13,micro,18.954593762,-1.70519149719,9.5159851448,11.3664072503,6.96129604591,4.40511120439
14,micro,11.5078296114,-1.67868617706,9.22798380715,10.5270434683,5.82894561761,4.69809785071
15,micro,16.0472723447,-1.6297296223,9.54809749706,11.3535545166,6.96602418711,4.38753032945
16,micro,8.74335659783,-1.28711296696,7.80384330354,9.0810286355,5.43372200355,3.64730663194
17,micro,29.8292975477,-1.8573035959,10.8406000001,12.371086959,7.38894609762,4.98214086135
18,micro,11.8539388439,-1.45434862029,7.8143996338,10.2140190766,6.74051935961,3.47349971698
19,micro,8.00934035566,-1.76185189922,9.18850367737,11.1256734863,6.10479323241,5.02088025387
20,micro,10.0440719849,-1.65918136387,8.38753998319,9.97631971119,5.65948221576,4.31683749543
21,micro,10.6708816859,-1.5331670341,8.42770602491,10.006765902,5.86646805693,4.14029784506
22,micro,17.9139858742,-2.05004093183,11.4220484442,12.7675467058,6.57228254269,6.19526416311
23,micro,14.7099841021,-1.82194377783,10.0039661711,11.3047567293,6.24027584517,5.06448088416
24,micro,19.5631298366,-1.79582272381,10.6544082355,12.0191947243,6.89264164117,5.12655308308
25,micro,9.61317063467,-1.52806447546,8.39525152061,9.41523848295,5.30330490806,4.11193357489
26,micro,6.31854786407,-1.26905389225,6.24027584517,7.64444076156,4.69134788223,2.95309287933
27,micro,11.4497458197,-1.55522426941,8.17046857833,9.55350445389,5.68357976734,3.86992468655
28,micro,12.722458924,-1.65240174806,10.343386293,11.8628778631,6.49677499019,5.36610287296
29,micro,9.75562843476,-1.65331816966,8.18367658262,10.1109081434,6.02344759296,4.08746055042
30,micro,21.5963780711,-1.26158421806,8.93075873556,10.1774762979,6.71901315439,3.45846314347
31,micro,11.8244028714,-2.04232046985,9.82568816008,10.8639482682,5.39816270152,5.46578556664
32,micro,9.34703056248,-1.01098411153,6.32972090552,7.83794891603,5.47227067367,2.36567824235
33,micro,11.5436467193,-1.01868597016,7.05098944707,8.02747653086,5.34233425196,2.6851422789
34,micro,15.13903483,-1.9252398302,10.2738780074,11.5912559384,6.27664348934,5.31461244903
35,micro,9.05744125603,-1.59072531323,7.9932823281,9.61219898449,5.64897423816,3.96322474633
36,micro,12.9177869813,-1.40295233049,8.40603814205,9.15398163831,5.44241771052,3.71156392779
37,micro,7.96325556395,-1.81374497833,8.87220675603,9.95617487482,4.99721227376,4.95896260105
38,micro,10.5580350217,-1.71205465656,9.20190489316,10.2490611034,5.50533153593,4.74372956747
39,micro,15.2775335314,-2.3935422783,11.7790748645,13.5970684376,6.58340922216,7.01365921542
40,micro,17.6396126586,-1.9097454442,10.4991872709,11.7112023886,6.36647044773,5.34473194082
41,micro,9.23098097837,-1.15763216842,6.82654522356,8.30573114488,5.39362754635,2.91210359852
42,micro,9.82165228946,-1.42038438714,8.19973896063,10.5298536994,6.68586094707,3.84399275234
43,micro,15.9203524377,-1.55054654658,9.38848655736,10.8946630976,6.42486902391,4.4697940737
44,micro,8.20459950862,-1.55706912007,8.47407690034,8.72729202921,4.27666611902,4.45062591019
45,micro,12.6315693596,-1.72666629678,9.14195445911,10.5762534384,6.09356977005,4.48268366836
46,micro,10.6452667983,-1.72878395287,10.0002058314,10.2100159128,4.77068462447,5.43933128832
47,micro,7.80201983069,-1.5235189151,7.66575343186,9.79812703688,5.99396142731,3.80416560957
48,micro,17.3711507139,-1.55254669746,9.40607161568,10.6323396577,6.28599809451,4.34634156321
49,micro,12.1501903502,-1.75103622748,8.83985623276,10.5531007311,6.14846829592,4.40463243515
50,micro,10.4443249061,-1.51348910139,8.55795118389,10.0437276415,5.97380961187,4.06991802958
51,micro,5.70620969908,-1.85308654872,8.70217786563,10.230198012,5.1416635565,5.08853445545
52,micro,14.9653455437,-1.85044446886,10.29522554,11.6099614275,6.34913899138,5.2608224361
53,micro,14.6752300895,-1.80213870752,10.068196582,11.3431923403,6.21060007702,5.13259226331
54,micro,17.6490981996,-1.30567093114,8.39570329383,9.72663103517,6.39692965522,3.32970137996
55,micro,10.6768817535,-1.18917325601,7.12447826249,9.05228206732,6.21460809842,2.8376739689
56,micro,11.6085028642,-1.99978171951,9.74572201364,10.8635080473,5.46806014114,5.39544790614
57,micro,9.83102916965,-1.59841958457,8.71948076085,10.5180243325,6.15697898559,4.36104534693
58,micro,17.5330177718,-2.04799057084,11.0372578255,12.4037629951,6.56244409369,5.84131890139
59,micro,20.1438209684,-2.16258592285,12.1572867314,13.5222167692,6.83303173279,6.68918503646
60,micro,13.856366576,-1.51790491664,8.73825457653,10.2282847576,6.0661080901,4.16217666747
61,micro,7.07738068484,-2.04500147942,8.99106433219,10.6181515766,5.36129216571,5.25685941085
62,micro,5.13833865312,-1.26312920182,6.01371515604,8.67573421954,5.72031177661,2.95542244294
63,micro,15.1248559468,-1.77104701147,10.1696522784,11.7604415777,6.74641212857,5.01402944909
64,micro,5.6646428552,-1.37435408421,7.17011954345,9.11040953335,5.49716822529,3.61324130806
65,micro,13.70773914,-1.80652991707,9.5772032423,10.8967948796,6.04025471128,4.85654016828
66,micro,9.28910512673,-1.7817918757,8.4140524325,10.3343604646,5.9788857649,4.35547469968
67,micro,12.243980388,-1.59922258403,8.5519810169,10.5621468026,6.48463523564,4.077511567
68,micro,12.0892821189,-1.6462163708,8.65067458279,10.0553069456,5.83481073706,4.22049620853
